,n,seed,model,random_accuracy,random_time,sacrifice_accuracy,sacrifice_time
0,200,10000,Ising,0.9666666666666667,3.8269264698028564,0.9333333333333333,1.6858108043670654
1,200,10001,Ising,1.0,2.7000417709350586,1.0,1.6773498058319092
2,200,10002,Ising,0.9666666666666667,3.3158867359161377,0.9666666666666667,1.5412571430206299
3,200,10003,Ising,1.0,3.2199418544769287,1.0,1.6441407203674316
4,200,10004,Ising,1.0,2.731411933898926,1.0,1.3388357162475586
5,200,10005,Ising,1.0,2.5898263454437256,1.0,1.213879108428955
6,200,10006,Ising,0.9666666666666667,3.359844923019409,0.9666666666666667,1.3221960067749023
7,200,10007,Ising,1.0,2.7749619483947754,1.0,1.196558952331543
8,200,10008,Ising,0.9666666666666667,2.7139737606048584,0.9666666666666667,1.0921640396118164
9,200,10009,Ising,1.0,2.7534971237182617,1.0,1.1057968139648438
10,200,10010,Ising,0.9666666666666667,3.090545654296875,0.9666666666666667,1.0191364288330078
11,200,10011,Ising,0.9333333333333333,3.406947135925293,0.9666666666666667,1.508699655532837
12,200,10012,Ising,0.9333333333333333,3.1901185512542725,0.9,1.9834833145141602
13,200,10013,Ising,0.23333333333333334,0.38932275772094727,0.9,1.321744441986084
14,200,10014,Ising,0.9,3.194674491882324,0.9,1.5261969566345215
15,200,10015,Ising,1.0,2.2787678241729736,1.0,1.2026927471160889
16,200,10016,Ising,1.0,2.318369150161743,1.0,1.184661626815796
17,200,10017,Ising,1.0,2.1613354682922363,1.0,0.9459195137023926
18,200,10018,Ising,1.0,2.4539670944213867,1.0,1.8295795917510986
19,200,10019,Ising,0.9666666666666667,2.5444836616516113,0.9666666666666667,0.90460205078125
20,200,10020,Ising,1.0,2.4726970195770264,1.0,1.210799217224121
21,200,10021,Ising,1.0,2.794339895248413,1.0,0.9154059886932373
22,200,10022,Ising,0.9666666666666667,2.639157772064209,1.0,1.2558529376983643
23,200,10023,Ising,0.9666666666666667,3.0594725608825684,0.9666666666666667,1.2581512928009033
24,200,10024,Ising,1.0,2.8503501415252686,1.0,1.219468593597412
25,200,10025,Ising,0.9666666666666667,3.5123369693756104,0.9,1.2624046802520752
26,200,10026,Ising,0.9666666666666667,3.1153805255889893,0.9666666666666667,1.678248643875122
27,200,10027,Ising,0.9,3.0941038131713867,0.9,1.0657002925872803
28,200,10028,Ising,0.9333333333333333,2.219931125640869,0.9666666666666667,1.2694411277770996
29,200,10029,Ising,0.8333333333333334,3.1450536251068115,0.9333333333333333,1.8113725185394287
30,200,10030,Ising,0.9666666666666667,2.921254873275757,0.9666666666666667,1.0461022853851318
31,200,10031,Ising,0.8666666666666667,3.380974531173706,0.8666666666666667,1.812896490097046
32,200,10032,Ising,0.9666666666666667,2.9922876358032227,0.9666666666666667,1.042280673980713
33,200,10033,Ising,1.0,2.9480414390563965,1.0,1.2607195377349854
34,200,10034,Ising,1.0,2.7831413745880127,1.0,1.32295560836792
35,200,10035,Ising,1.0,2.519946575164795,1.0,1.2569334506988525
36,200,10036,Ising,1.0,2.9827215671539307,1.0,1.4845151901245117
37,200,10037,Ising,1.0,3.6639468669891357,1.0,1.4437198638916016
38,200,10038,Ising,1.0,2.4415881633758545,1.0,1.1183602809906006
39,200,10039,Ising,0.9666666666666667,2.5814692974090576,0.9666666666666667,1.1314117908477783
40,200,10040,Ising,0.9333333333333333,2.879244327545166,0.9333333333333333,1.552424669265747
41,200,10041,Ising,0.9333333333333333,3.0534701347351074,0.9,1.7699904441833496
42,200,10042,Ising,0.9333333333333333,3.2719643115997314,0.9333333333333333,2.1508045196533203
43,200,10043,Ising,0.9333333333333333,3.177342176437378,0.9666666666666667,2.1008107662200928
44,200,10044,Ising,0.9333333333333333,3.2948124408721924,0.9,2.012441873550415
45,200,10045,Ising,1.0,3.052574396133423,1.0,0.9881744384765625
46,200,10046,Ising,0.9666666666666667,2.692713975906372,0.9666666666666667,1.3676164150238037
47,200,10047,Ising,0.9666666666666667,3.1853537559509277,0.9666666666666667,2.244384288787842
48,200,10048,Ising,1.0,2.6953768730163574,1.0,1.4420356750488281
49,200,10049,Ising,1.0,2.4736242294311523,1.0,1.685654640197754
50,200,10050,Ising,1.0,2.408971071243286,1.0,1.3019280433654785
51,200,10051,Ising,1.0,3.0607006549835205,1.0,1.5405128002166748
52,200,10052,Ising,1.0,2.4788808822631836,1.0,1.1988716125488281
53,200,10053,Ising,0.9333333333333333,3.1656155586242676,0.9333333333333333,1.5935447216033936
54,200,10054,Ising,0.9666666666666667,2.923326253890991,0.9666666666666667,2.231529474258423
55,200,10055,Ising,0.9666666666666667,3.066758394241333,0.9666666666666667,1.3214728832244873
56,200,10056,Ising,0.9666666666666667,2.326566219329834,0.9666666666666667,1.1394290924072266
57,200,10057,Ising,0.9,3.028634548187256,0.9333333333333333,1.3914990425109863
58,200,10058,Ising,0.9333333333333333,2.6100213527679443,0.9333333333333333,1.7826077938079834
59,200,10059,Ising,0.9333333333333333,3.125398874282837,0.9333333333333333,1.5305166244506836
60,200,10060,Ising,1.0,2.86711049079895,1.0,1.438366413116455
61,200,10061,Ising,1.0,2.8805830478668213,1.0,1.4385840892791748
62,200,10062,Ising,0.9333333333333333,2.469640016555786,0.9,1.3581945896148682
63,200,10063,Ising,0.9,3.1179580688476562,0.9,1.8819921016693115
64,200,10064,Ising,0.3333333333333333,0.40186119079589844,0.9666666666666667,1.5567114353179932
65,200,10065,Ising,1.0,3.170943021774292,1.0,1.453798770904541
66,200,10066,Ising,0.9,3.1052865982055664,0.9333333333333333,1.9922714233398438
67,200,10067,Ising,1.0,3.4731831550598145,1.0,1.1759324073791504
68,200,10068,Ising,0.9666666666666667,3.0851359367370605,0.9666666666666667,2.25762677192688
69,200,10069,Ising,0.9666666666666667,3.3544697761535645,0.9666666666666667,1.0378916263580322
70,200,10070,Ising,1.0,2.9106926918029785,1.0,1.577538013458252
71,200,10071,Ising,1.0,2.7283382415771484,1.0,1.2733283042907715
72,200,10072,Ising,1.0,2.918947458267212,1.0,1.299187183380127
73,200,10073,Ising,1.0,2.3234543800354004,1.0,1.5856096744537354
74,200,10074,Ising,0.9666666666666667,2.941725254058838,1.0,1.3069088459014893
75,200,10075,Ising,1.0,2.988926410675049,1.0,2.1949145793914795
76,200,10076,Ising,0.9,3.6464152336120605,0.9,1.4633188247680664
77,200,10077,Ising,1.0,2.6955885887145996,1.0,1.222907543182373
78,200,10078,Ising,0.9333333333333333,2.7175214290618896,0.9333333333333333,1.2213637828826904
79,200,10079,Ising,0.9666666666666667,2.3471317291259766,0.9666666666666667,2.343334674835205
80,200,10080,Ising,0.9,3.0272810459136963,0.9,1.44535231590271
81,200,10081,Ising,0.9333333333333333,2.999680757522583,0.9333333333333333,1.35235595703125
82,200,10082,Ising,1.0,2.9344208240509033,1.0,1.3929460048675537
83,200,10083,Ising,0.8666666666666667,2.5936830043792725,0.8666666666666667,2.161310911178589
84,200,10084,Ising,1.0,2.525034189224243,1.0,0.8553874492645264
85,200,10085,Ising,1.0,2.5358681678771973,1.0,1.9407131671905518
86,200,10086,Ising,0.8666666666666667,2.5471994876861572,0.9,1.7334575653076172
87,200,10087,Ising,0.9666666666666667,2.576349973678589,0.9666666666666667,1.4459223747253418
